,Unnamed: 0,Ram,Storage,Battery,Price,Brand,Color,Front_cam,Rear_cam,display,Display_type
256,256,4,64,34,14999,9,0,8.0,48.0,6.5,2
257,257,2,32,31,8999,9,0,2.0,13.0,6.2,2
258,258,6,64,34,15999,9,0,8.0,48.0,6.5,2
259,259,4,64,34,14999,9,11,8.0,48.0,6.5,2
260,260,6,64,34,14999,9,11,8.0,48.0,6.5,2
261,261,4,64,25,13999,9,1,5.0,16.0,6.3,2
262,262,2,16,31,8990,9,0,2.0,13.0,6.2,2
263,263,2,16,31,8990,9,1,2.0,13.0,6.2,2
264,264,4,128,49,11999,9,1,8.0,12.0,6.52,2
265,265,4,64,49,10999,9,5,8.0,12.0,6.52,2
266,266,4,64,49,10999,9,1,8.0,12.0,6.52,2
267,267,6,64,24,15999,9,1,8.0,48.0,6.3,2
268,268,8,128,24,17999,9,1,8.0,48.0,6.3,2
269,269,6,64,24,15999,9,5,8.0,48.0,6.3,2
270,270,4,64,24,14999,9,1,8.0,48.0,6.3,2
271,271,4,64,24,14999,9,5,8.0,48.0,6.3,2
272,272,4,128,49,14249,9,1,8.0,64.0,6.5,2
273,273,8,128,37,21999,9,10,8.0,64.0,6.4,2
274,274,2,32,49,5299,9,1,8.0,8.0,6.5,2
275,275,8,128,49,19999,9,0,2.0,108.0,6.72,2
276,276,8,256,49,27999,9,0,8.0,108.0,6.7,2
277,277,8,256,49,27999,9,0,8.0,108.0,6.7,2
278,278,6,128,49,19999,9,0,2.0,48.0,6.6,2
279,279,12,256,49,31999,9,5,8.0,50.0,6.62,0
280,280,4,128,55,11999,9,1,2.0,13.0,6.5,2
281,281,8,128,49,18499,9,1,2.0,48.0,6.5,2
282,282,4,64,49,15499,9,1,2.0,48.0,6.5,2
283,283,6,128,49,17499,9,0,2.0,48.0,6.5,2
284,284,6,128,49,17499,9,0,2.0,48.0,6.5,2
285,285,8,128,49,19999,9,0,8.0,48.0,6.5,2
286,286,6,128,49,17499,9,1,2.0,48.0,6.5,2
287,287,6,128,37,24999,9,5,8.0,50.0,6.4,0
288,288,3,32,49,8999,9,6,2.0,12.0,6.52,2
289,289,4,64,55,11499,9,5,2.0,50.0,6.5,2
290,290,12,256,49,35999,9,5,8.0,64.0,6.62,2
291,291,2,32,49,8999,9,5,2.0,13.0,6.5,2
292,292,8,128,34,27999,9,6,8.0,64.0,6.43,2
293,293,3,32,55,8999,9,0,2.0,13.0,6.51,2
294,294,3,32,55,8999,9,1,2.0,13.0,6.51,2
295,295,6,64,14,15990,9,0,2.0,16.0,6.3,2
296,296,4,128,55,10999,9,1,2.0,13.0,6.5,2
297,297,4,64,55,9999,9,6,2.0,13.0,6.5,2
298,298,8,128,49,20999,9,1,8.0,64.0,6.5,2
299,299,8,256,34,29999,9,0,8.0,64.0,6.43,2
300,300,8,256,34,29999,9,6,8.0,64.0,6.43,2
301,301,6,128,34,25999,9,11,8.0,64.0,6.43,2
302,302,6,128,34,25999,9,0,8.0,64.0,6.43,2
303,303,8,128,34,27999,9,1,8.0,64.0,6.43,2
304,304,6,128,34,25999,9,6,8.0,64.0,6.43,2
305,305,6,128,34,25999,9,1,8.0,64.0,6.43,2
306,306,4,128,55,11999,9,1,2.0,50.0,6.5,2
307,307,4,64,55,11499,9,1,2.0,50.0,6.5,2
308,308,3,32,55,10999,9,10,2.0,13.0,6.52,2
309,309,4,64,55,10999,9,1,2.0,13.0,6.52,2
310,310,4,64,55,9999,9,10,2.0,13.0,6.52,2
311,311,4,64,31,11990,9,0,2.0,13.0,6.2,2
312,312,6,128,49,15999,9,9,2.0,50.0,6.6,2
313,313,4,64,55,9999,9,1,2.0,13.0,6.51,2
